CaII,,,,,,,,,,
QSO,zem,zabs,gmag,W0a,e_W0a,W0b,e_W0b,Sloan,_RA,_DE
J113653.03+482812.9,1.659,0.7383,19.46,0.855,0.123,0.619,0.109,Sloan,174.22096,48.47025
J113709.49+390723.4,1.029,0.7191,18.13,0.571,0.093,0.249,0.077,Sloan,174.28954,39.12317
J113853.35+230739.6,1.495,0.7427,20.08,0.784,0.129,0.562,0.147,Sloan,174.72229,23.12767
J114006.15+013731.8,3.864,0.9327,21.66,1.24,0.212,0.904,0.106,Sloan,175.02562,1.6255
J114107.43+522818.6,1.264,0.5937,17.16,0.384,0.056,0.15,0.044,Sloan,175.28096,52.47183
J114114.62-032623.9,0.755,0.4378,17.72,0.375,0.055,0.19,0.048,Sloan,175.31092,-3.43997
J114339.86+073105.7,1.305,0.1891,17.98,0.632,0.098,0.462,0.08,Sloan,175.91608,7.51825
J114502.90+645725.8,1.972,0.6902,19.39,1.049,0.147,0.915,0.16,Sloan,176.26208,64.95717
J114534.27+493559.0,2.987,0.7999,18.88,0.86,0.146,0.488,0.131,Sloan,176.39279,49.59972
J114557.84+080029.0,2.363,0.8695,18.54,0.607,0.084,0.353,0.107,Sloan,176.491,8.00806
J114658.29+395834.2,1.088,0.9004,18.65,0.381,0.042,0.137,0.045,Sloan,176.74287,39.97617
J114719.89+522923.1,2,0.0475,19.11,0.973,0.166,0.601,0.173,Sloan,176.83287,52.48975
J114751.16+205347.6,1.459,0.1806,18.78,1.477,0.266,1.033,0.19,Sloan,176.96317,20.89656
J114856.57+525425.3,1.632,0.8309,16.91,0.4,0.051,0.255,0.042,Sloan,177.23571,52.90703
J114907.14+004104.3,2.292,0.6663,18.22,0.436,0.073,0.349,0.055,Sloan,177.27975,0.68453
J115244.06+571202.1,1.604,0.8476,18.83,0.516,0.103,0.368,0.094,Sloan,178.18358,57.20058
J115337.56+320046.2,2.418,0.2801,19.19,0.431,0.083,0.322,0.086,Sloan,178.4065,32.01283
J115413.10+340942.0,1.768,0.6768,18.06,0.737,0.057,0.503,0.064,Sloan,178.55458,34.16167
J115718.31+561135.4,1.636,0.8308,18.44,0.549,0.071,0.414,0.075,Sloan,179.32629,56.19317
J115830.96+631004.2,2.925,0.2604,19.58,1.634,0.325,1.175,0.285,Sloan,179.629,63.16783
J120008.69-015736.2,2.986,0.7414,19.55,1.626,0.186,0.72,0.202,Sloan,180.03621,-1.96006
J120200.93+523753.1,3.051,0.6988,19.39,0.905,0.126,0.581,0.161,Sloan,180.50387,52.63142
J120301.01+063441.5,2.178,0.8619,19.74,1.378,0.171,0.96,0.179,Sloan,180.75421,6.57819
J120342.24+102831.8,1.894,0.7461,17.88,0.655,0.122,0.365,0.082,Sloan,180.926,10.4755
J120554.32+531648.6,1.798,0.6705,19.79,1.576,0.28,1.04,0.258,Sloan,181.47633,53.28017
J120802.65+630328.8,2.579,0.3361,17.48,0.627,0.068,0.483,0.056,Sloan,182.01104,63.058
J121020.17+225920.1,0.573,0.5605,19.37,1.499,0.235,0.871,0.328,Sloan,182.58404,22.98892
J121320.98+050601.7,2.427,0.3546,19.23,1.15,0.179,0.499,0.176,Sloan,183.33742,5.10047
J121442.30+280329.1,1.973,0.6778,17.8,0.538,0.075,0.334,0.058,Sloan,183.67625,28.05808
J121454.11+120030.1,0.873,0.7195,19.02,0.824,0.126,0.545,0.148,Sloan,183.72546,12.00836
J121604.72+584333.2,1.452,0.7247,18.2,0.528,0.066,0.226,0.063,Sloan,184.01967,58.72589
J121753.03+050030.8,0.632,0.541,18.52,0.542,0.104,0.444,0.154,Sloan,184.47096,5.00856
J121911.23-004345.5,2.288,0.4484,17.89,0.4,0.06,0.325,0.048,Sloan,184.79679,-0.72931
J121930.77+494052.3,2.699,1.0453,17.09,0.295,0.049,0.187,0.068,Sloan,184.87821,49.68119
J122043.87+011122.1,2.627,0.9191,18.46,0.615,0.052,0.448,0.079,Sloan,185.18279,1.18947
J122108.73+184847.9,2.178,0.5962,18.36,0.945,0.165,0.556,0.103,Sloan,185.28637,18.81331
J122151.96+110223.5,1.887,0.2035,19.21,1.132,0.2,0.472,0.185,Sloan,185.4665,11.03986
J122756.34+425632.3,1.311,1.0449,17.47,0.359,0.063,0.244,0.053,Sloan,186.98475,42.94231
J122831.53+041424.8,1.355,0.6116,18.71,0.726,0.108,0.422,0.11,Sloan,187.13137,4.24022
J122930.94+230331.5,1.586,0.991,19.11,0.843,0.165,0.626,0.165,Sloan,187.37892,23.05875
J123401.23+002437.3,2.147,0.1125,19.49,0.518,0.097,0.519,0.097,Sloan,188.50512,0.41036
J123413.61+292212.9,1.611,0.7066,19.21,0.791,0.093,0.52,0.098,Sloan,188.55671,29.37025
J123600.33+561444.0,2.313,0.2528,18.44,0.822,0.165,0.593,0.131,Sloan,189.00137,56.24556
J124011.15+003203.9,3.028,0.369,19.81,1.211,0.157,0.516,0.129,Sloan,190.04646,0.53442
J124300.47+204246.8,1.98,0.2769,18.62,1.488,0.126,1.034,0.101,Sloan,190.75196,20.713
J124347.60+374512.5,2.146,0.7176,18.42,0.552,0.103,0.302,0.088,Sloan,190.94833,37.75347
J124349.61+191537.7,2.311,0.432,19.08,1.196,0.156,0.652,0.194,Sloan,190.95671,19.26047
J124722.49+342727.0,2.494,1.0379,18.14,0.695,0.129,0.329,0.104,Sloan,191.84371,34.4575
J124753.19-014712.2,3.67,0.79,20.24,0.776,0.112,0.249,0.082,Sloan,191.97162,-1.78672
J124910.19+623847.3,1.457,0.6169,18.74,0.564,0.097,0.245,0.097,Sloan,192.29246,62.64647
J124924.43-011617.6,2.219,0.7554,19.82,0.88,0.156,0.421,0.147,Sloan,192.35179,-1.27156
J124949.65+593216.9,2.052,0.7063,18.24,0.429,0.07,0.347,0.072,Sloan,192.45687,59.53803
J125244.53+642103.3,1.399,0.5124,17.58,1.099,0.096,0.696,0.076,Sloan,193.18554,64.35092
J125314.72+380911.3,1.815,0.9896,18.16,0.447,0.078,0.301,0.049,Sloan,193.31133,38.15314
J125348.77+340243.4,1.269,0.8902,19.79,0.494,0.096,0.49,0.092,Sloan,193.45321,34.04539
J125419.07+362750.4,2.985,0.2702,18.5,0.533,0.099,0.446,0.088,Sloan,193.57946,36.464
J125431.89+210315.9,3.281,0.4338,20.46,2.235,0.386,1.322,0.486,Sloan,193.63287,21.05442
J130028.53+283010.1,0.647,0.2228,16.95,0.429,0.069,0.259,0.061,Sloan,195.11887,28.50281
J130153.78-011410.9,1.718,1.2436,17.92,0.822,0.137,0.318,0.066,Sloan,195.47408,-1.23636
J130537.33+283007.0,1.141,0.7279,17.93,0.616,0.059,0.395,0.066,Sloan,196.40554,28.50194
J130811.95+113609.2,2.098,0.3486,18.38,1.068,0.121,0.815,0.119,Sloan,197.04979,11.60256
J130846.76-005046.8,2.091,0.2107,19.05,0.4,0.077,0.369,0.084,Sloan,197.19483,-0.84633
J131058.14+010822.1,1.395,0.8621,18.86,0.874,0.069,0.434,0.059,Sloan,197.74225,1.13947
J131204.43+361814.5,1.429,0.3285,18.1,0.798,0.094,0.527,0.098,Sloan,198.01846,36.30403
J131232.07+392023.8,1.509,0.4014,19.59,0.793,0.15,0.533,0.157,Sloan,198.13362,39.33994
J131446.65+040609.4,2.36,0.9817,18.91,0.903,0.154,0.546,0.131,Sloan,198.69437,4.10261
J131630.46+005125.5,2.401,0.1544,18.23,1.123,0.176,0.835,0.166,Sloan,199.12692,0.85708
J132323.78-002155.2,1.391,0.7162,18.44,0.896,0.05,0.518,0.043,Sloan,200.84908,-0.36533
